type_hw7,name,n_missions,total_instances,missions,has_objobj_init_same_id,note
163,,3,19,7 18 45,,global resource id; outside INIT table range
164,,4,5,7 18 35 49,,global resource id; outside INIT table range
165,,3,3,18 35 45,,global resource id; outside INIT table range
166,,5,5,7 19 30 31 45,,global resource id; outside INIT table range
167,,2,3,15 42,,global resource id; outside INIT table range
168,,1,1,44,,global resource id; outside INIT table range
169,,4,4,15 35 45 91,,global resource id; outside INIT table range
170,,5,5,18 30 31 37 42,,global resource id; outside INIT table range
171,,5,5,7 18 21 47 91,,global resource id; outside INIT table range
172,,1,1,7,,global resource id; outside INIT table range
173,,1,1,7,,global resource id; outside INIT table range
174,,4,6,7 19 41 91,,global resource id; outside INIT table range
175,,1,1,19,,global resource id; outside INIT table range
176,,3,3,18 19 91,,global resource id; outside INIT table range
177,,1,1,18,,global resource id; outside INIT table range
178,,2,2,21 47,,global resource id; outside INIT table range
179,,3,3,18 30 31,,global resource id; outside INIT table range
181,,2,5,7 18,,global resource id; outside INIT table range
182,,2,3,7 18,,global resource id; outside INIT table range
183,,4,7,7 18 19 45,,global resource id; outside INIT table range
184,,1,7,7,,global resource id; outside INIT table range
185,,2,7,7 45,,global resource id; outside INIT table range
186,,3,5,7 21 47,,global resource id; outside INIT table range
187,,1,1,45,,global resource id; outside INIT table range
188,,2,2,35 49,,global resource id; outside INIT table range
189,,3,3,7 18 91,,global resource id; outside INIT table range
190,,3,3,2 18 90,,global resource id; outside INIT table range
191,,2,2,18 19,,global resource id; outside INIT table range
192,,2,3,18 47,,global resource id; outside INIT table range
193,,1,1,15,,global resource id; outside INIT table range
194,,3,4,18 45 47,,global resource id; outside INIT table range
195,,3,4,18 21 47,,global resource id; outside INIT table range
196,,4,4,2 15 47 90,,global resource id; outside INIT table range
197,,1,2,7,,global resource id; outside INIT table range
198,,3,4,7 30 31,,global resource id; outside INIT table range
199,,3,3,18 42 45,,global resource id; outside INIT table range
200,,2,3,42 49,,global resource id; outside INIT table range
201,,1,1,12,,global resource id; outside INIT table range
202,,2,2,30 31,,global resource id; outside INIT table range
203,,1,2,41,,global resource id; outside INIT table range
204,,3,3,18 19 41,,global resource id; outside INIT table range
205,,5,6,18 21 47 49 91,,global resource id; outside INIT table range
206,,3,5,7 42 49,,global resource id; outside INIT table range
207,,1,1,45,,global resource id; outside INIT table range
208,,1,1,9,,global resource id; outside INIT table range
209,,3,3,30 31 42,,global resource id; outside INIT table range
211,,1,1,49,,global resource id; outside INIT table range
212,,1,1,42,,global resource id; outside INIT table range
213,,1,1,49,,global resource id; outside INIT table range
214,,1,5,15,,global resource id; outside INIT table range
221,,1,1,42,,global resource id; outside INIT table range
224,,1,1,42,,global resource id; outside INIT table range
225,,2,2,21 47,,global resource id; outside INIT table range
227,,1,1,49,,global resource id; outside INIT table range
229,,1,1,12,,global resource id; outside INIT table range
230,,1,1,21,,global resource id; outside INIT table range
231,,2,3,15 42,,global resource id; outside INIT table range
232,,2,3,15 42,,global resource id; outside INIT table range
235,,1,1,21,,global resource id; outside INIT table range
238,,2,2,21 47,,global resource id; outside INIT table range
239,,2,2,30 31,,global resource id; outside INIT table range
242,,3,3,15 30 31,,global resource id; outside INIT table range
243,,1,1,15,,global resource id; outside INIT table range
246,,1,1,17,,global resource id; outside INIT table range
247,,1,1,30,,global resource id; outside INIT table range
254,,1,1,91,,global resource id; outside INIT table range
256,,3,3,30 31 91,,global resource id; outside INIT table range
259,,2,2,15 91,,global resource id; outside INIT table range
260,,1,1,91,,global resource id; outside INIT table range
261,,2,2,30 31,,global resource id; outside INIT table range
266,,2,2,30 31,,global resource id; outside INIT table range
267,,2,2,15 91,,global resource id; outside INIT table range
271,,1,1,91,,global resource id; outside INIT table range
275,,2,2,30 31,,global resource id; outside INIT table range
276,,2,2,30 31,,global resource id; outside INIT table range
277,,4,4,21 47 84 91,,global resource id; outside INIT table range
287,,5,5,21 30 31 84 91,,global resource id; outside INIT table range
288,,1,1,91,,global resource id; outside INIT table range
290,,1,1,91,,global resource id; outside INIT table range
292,,4,4,21 30 31 47,,global resource id; outside INIT table range
294,,1,1,42,,global resource id; outside INIT table range
297,,3,3,12 21 47,,global resource id; outside INIT table range
298,,1,1,12,,global resource id; outside INIT table range
302,,1,1,49,,global resource id; outside INIT table range
307,,1,1,49,,global resource id; outside INIT table range
309,,1,1,12,,global resource id; outside INIT table range
310,,2,2,30 31,,global resource id; outside INIT table range
311,,1,1,12,,global resource id; outside INIT table range
312,,1,1,12,,global resource id; outside INIT table range
313,,1,1,12,,global resource id; outside INIT table range
316,,1,1,12,,global resource id; outside INIT table range
317,,3,3,12 30 31,,global resource id; outside INIT table range
324,,2,2,30 31,,global resource id; outside INIT table range
330,,1,1,12,,global resource id; outside INIT table range
331,,1,1,12,,global resource id; outside INIT table range
335,,1,1,12,,global resource id; outside INIT table range
336,,1,1,12,,global resource id; outside INIT table range
337,,1,1,15,,global resource id; outside INIT table range
340,,1,1,91,,global resource id; outside INIT table range
342,,1,1,91,,global resource id; outside INIT table range
345,,2,2,12 91,,global resource id; outside INIT table range
350,,1,1,91,,global resource id; outside INIT table range
353,,1,1,91,,global resource id; outside INIT table range
376,,1,2,83,,global resource id; outside INIT table range
377,,1,1,83,,global resource id; outside INIT table range
380,,2,2,83 91,,global resource id; outside INIT table range
384,,1,1,91,,global resource id; outside INIT table range
388,,1,1,91,,global resource id; outside INIT table range
