mission,namespace,type,count,init_ptr,hp_values,resource_ids
3,spawn_hw7,37,2,,,
3,spawn_hw7,38,1,,,
3,spawn_hw7,39,3,,,
3,spawn_hw7,40,1,,,
3,spawn_hw7,43,3,,,
3,spawn_hw7,44,3,,,
3,spawn_hw7,46,2,,,
3,spawn_hw7,58,2,,,
3,spawn_hw7,59,1,,,
3,spawn_hw7,60,1,,,
3,spawn_hw7,65,1,,,
3,spawn_logical_hw3,-1,1,(no INIT),0,1
3,spawn_logical_hw3,0,3,(no INIT),0,0 65
3,spawn_logical_hw3,1,76,0x801c5374,600,3 5 6 8 9 10 11 12 15 17 18 19 20 21 22 23 24 26 27 28 29 32 33 35 36 37 38 39 40 43 44 46 58 59 60
3,objobj_init,1,,0x801c5374,,
4,spawn_hw7,21,1,,,
4,spawn_hw7,29,3,,,
4,spawn_hw7,127,1,,,
4,spawn_hw7,139,1,,,
4,spawn_logical_hw3,-1,1,(no INIT),0,29
4,spawn_logical_hw3,0,3,(no INIT),0,29 139
4,spawn_logical_hw3,1,1,0x801c5418,18000,21
4,spawn_logical_hw3,2,1,0x801c64f4,4500,127
4,objobj_init,1,,0x801c5418,,
4,objobj_init,2,,0x801c64f4,,
5,spawn_hw7,8,4,,,
5,spawn_hw7,12,2,,,
5,spawn_hw7,14,1,,,
5,spawn_hw7,15,1,,,
5,spawn_hw7,145,1,,,
5,spawn_hw7,146,3,,,
5,spawn_hw7,155,1,,,
5,spawn_hw7,156,1,,,
5,spawn_hw7,157,1,,,
5,spawn_hw7,158,2,,,
5,spawn_hw7,159,1,,,
5,spawn_hw7,160,1,,,
5,spawn_logical_hw3,-1,4,(no INIT),0 500,8 146 157 158
5,spawn_logical_hw3,0,3,(no INIT),0,8
5,spawn_logical_hw3,1,12,0x801c5190,400,12 14 15 145 146 155 156 158 159 160
5,objobj_init,1,,0x801c5190,,
6,spawn_hw7,0,1,,,
6,spawn_hw7,1,1,,,
6,spawn_hw7,2,1,,,
6,spawn_hw7,5,1,,,
6,spawn_hw7,11,3,,,
6,spawn_hw7,14,4,,,
6,spawn_hw7,16,1,,,
6,spawn_hw7,19,1,,,
6,spawn_hw7,20,2,,,
6,spawn_hw7,22,1,,,
6,spawn_hw7,23,1,,,
6,spawn_hw7,32,1,,,
6,spawn_hw7,34,2,,,
6,spawn_hw7,38,6,,,
6,spawn_hw7,44,1,,,
6,spawn_logical_hw3,-1,3,(no INIT),0 2000,14 16 20
6,spawn_logical_hw3,0,3,(no INIT),0,11 22 34
6,spawn_logical_hw3,1,2,0x801c5140,4500,2 34
6,spawn_logical_hw3,2,4,0x801c5588,3600,0 5 38 44
6,spawn_logical_hw3,3,9,0x801c63a0,2130,1 11 14 19 20 32
6,spawn_logical_hw3,4,1,0x801c6ad4,20000,23
6,spawn_logical_hw3,5,5,0x801c6bec,1400,38
6,objobj_init,1,,0x801c5140,,
6,objobj_init,2,,0x801c5588,,
6,objobj_init,3,,0x801c63a0,,
6,objobj_init,4,,0x801c6ad4,,
6,objobj_init,5,,0x801c6bec,,
7,spawn_hw7,76,2,,,
7,spawn_hw7,85,1,,,
7,spawn_hw7,87,3,,,
7,spawn_hw7,88,2,,,
7,spawn_hw7,89,2,,,
7,spawn_hw7,96,2,,,
7,spawn_hw7,103,1,,,
7,spawn_hw7,110,1,,,
7,spawn_hw7,112,1,,,
7,spawn_hw7,114,1,,,
7,spawn_hw7,117,1,,,
7,spawn_hw7,119,3,,,
7,spawn_hw7,130,1,,,
7,spawn_hw7,131,1,,,
7,spawn_hw7,134,2,,,
7,spawn_hw7,143,1,,,
7,spawn_hw7,144,1,,,
7,spawn_hw7,151,1,,,
7,spawn_hw7,154,1,,,
7,spawn_hw7,156,1,,,
7,spawn_hw7,160,1,,,
7,spawn_hw7,161,4,,,
7,spawn_hw7,163,16,,,
7,spawn_hw7,164,1,,,
7,spawn_hw7,166,1,,,
7,spawn_hw7,171,1,,,
7,spawn_hw7,172,1,,,
7,spawn_hw7,173,1,,,
7,spawn_hw7,174,3,,,
7,spawn_hw7,181,3,,,
7,spawn_hw7,182,2,,,
7,spawn_hw7,183,1,,,
7,spawn_hw7,184,7,,,
7,spawn_hw7,185,6,,,
7,spawn_hw7,186,3,,,
7,spawn_hw7,189,1,,,
7,spawn_hw7,197,2,,,
7,spawn_hw7,198,2,,,
7,spawn_hw7,206,2,,,
7,spawn_logical_hw3,-1,1,(no INIT),0,174
7,spawn_logical_hw3,0,3,(no INIT),0,103 174
7,spawn_logical_hw3,1,82,0x801c5770,2500,76 85 87 88 89 96 110 112 114 117 119 130 131 134 143 144 151 154 156 160 161 163 164 166 171 172 173 181 182 183 184 185 186 189 197 198 206
7,spawn_logical_hw3,2,1,0x801c6204,7000,206
7,objobj_init,1,,0x801c5770,,
7,objobj_init,2,,0x801c6204,,
8,spawn_hw7,0,3,,,
8,spawn_hw7,1,1,,,
8,spawn_hw7,3,1,,,
8,spawn_hw7,5,2,,,
8,spawn_hw7,6,4,,,
8,spawn_hw7,14,1,,,
8,spawn_hw7,37,1,,,
8,spawn_hw7,40,1,,,
8,spawn_hw7,41,1,,,
8,spawn_hw7,42,1,,,
8,spawn_logical_hw3,-1,2,(no INIT),0 10000,0 42
8,spawn_logical_hw3,0,3,(no INIT),0,0 1
8,spawn_logical_hw3,1,4,0x801c61f8,1200,5 14 37 40
8,spawn_logical_hw3,2,1,0x801c6a60,3000,5
8,spawn_logical_hw3,3,4,0x801c6aa0,1000 3000,6
8,spawn_logical_hw3,4,1,0x801c6ae0,9200,41
8,spawn_logical_hw3,5,1,0x801c7190,20000,3
8,objobj_init,1,,0x801c61f8,,
8,objobj_init,2,,0x801c6a60,,
8,objobj_init,3,,0x801c6aa0,,
8,objobj_init,4,,0x801c6ae0,,
8,objobj_init,5,,0x801c7190,,
9,spawn_hw7,0,3,,,
9,spawn_hw7,1,1,,,
9,spawn_hw7,5,1,,,
9,spawn_hw7,7,1,,,
9,spawn_hw7,9,1,,,
9,spawn_hw7,11,2,,,
9,spawn_hw7,13,1,,,
9,spawn_hw7,17,1,,,
9,spawn_hw7,19,1,,,
9,spawn_hw7,22,1,,,
9,spawn_hw7,26,2,,,
9,spawn_hw7,27,2,,,
9,spawn_hw7,28,1,,,
9,spawn_hw7,29,1,,,
9,spawn_hw7,63,1,,,
9,spawn_hw7,127,2,,,
9,spawn_hw7,128,1,,,
9,spawn_hw7,208,1,,,
9,spawn_logical_hw3,-1,5,(no INIT),0 1750,0 5 11 63 128
9,spawn_logical_hw3,0,3,(no INIT),0,0 208
9,spawn_logical_hw3,1,8,0x801c50f8,2000,9 13 17 19 26 27 28 29
9,spawn_logical_hw3,2,5,0x801c6200,1750,7 26 27 127
9,spawn_logical_hw3,3,3,0x801c6ad4,1700,1 11 22
9,objobj_init,1,,0x801c50f8,,
9,objobj_init,2,,0x801c6200,,
9,objobj_init,3,,0x801c6ad4,,
10,spawn_hw7,2,1,,,
10,spawn_hw7,15,1,,,
10,spawn_hw7,33,1,,,
10,spawn_hw7,44,1,,,
10,spawn_hw7,102,1,,,
10,spawn_logical_hw3,-1,1,(no INIT),0,15
10,spawn_logical_hw3,0,3,(no INIT),0,2 44 102
10,spawn_logical_hw3,1,1,0x801c52c0,11000,33
10,objobj_init,1,,0x801c52c0,,
11,spawn_hw7,0,2,,,
11,spawn_hw7,9,4,,,
11,spawn_hw7,15,2,,,
11,spawn_hw7,18,5,,,
11,spawn_hw7,21,2,,,
11,spawn_hw7,34,1,,,
11,spawn_hw7,38,2,,,
11,spawn_logical_hw3,-1,1,(no INIT),0,38
11,spawn_logical_hw3,0,3,(no INIT),0,0 34
11,spawn_logical_hw3,1,2,0x801c5770,4470,18
11,spawn_logical_hw3,2,7,0x801c5f30,3100,9 15 21
11,spawn_logical_hw3,3,1,0x801c6014,3000,38
11,spawn_logical_hw3,4,4,0x801c6758,5000,9 18
11,objobj_init,1,,0x801c5770,,
11,objobj_init,2,,0x801c5f30,,
11,objobj_init,3,,0x801c6014,,
11,objobj_init,4,,0x801c6758,,
12,spawn_hw7,2,1,,,
12,spawn_hw7,13,2,,,
12,spawn_hw7,22,2,,,
12,spawn_hw7,24,2,,,
12,spawn_hw7,33,1,,,
12,spawn_hw7,43,1,,,
12,spawn_hw7,44,1,,,
12,spawn_hw7,45,1,,,
12,spawn_hw7,48,1,,,
12,spawn_hw7,55,1,,,
12,spawn_hw7,57,1,,,
12,spawn_hw7,58,1,,,
12,spawn_hw7,59,1,,,
12,spawn_hw7,60,1,,,
12,spawn_hw7,79,1,,,
12,spawn_hw7,82,1,,,
12,spawn_hw7,84,1,,,
12,spawn_hw7,88,1,,,
12,spawn_hw7,92,2,,,
12,spawn_hw7,106,3,,,
12,spawn_hw7,126,3,,,
12,spawn_hw7,127,1,,,
12,spawn_hw7,151,2,,,
12,spawn_hw7,154,3,,,
12,spawn_hw7,155,1,,,
12,spawn_hw7,158,1,,,
12,spawn_hw7,201,1,,,
12,spawn_hw7,229,1,,,
12,spawn_hw7,297,1,,,
12,spawn_hw7,298,1,,,
12,spawn_hw7,309,1,,,
12,spawn_hw7,311,1,,,
12,spawn_hw7,312,1,,,
12,spawn_hw7,313,1,,,
12,spawn_hw7,316,1,,,
12,spawn_hw7,317,1,,,
12,spawn_hw7,330,1,,,
12,spawn_hw7,331,1,,,
12,spawn_hw7,335,1,,,
12,spawn_hw7,336,1,,,
12,spawn_hw7,345,1,,,
12,spawn_logical_hw3,-1,9,(no INIT),0 1000,2 24 33 154 155 158
12,spawn_logical_hw3,0,3,(no INIT),0,13 229
12,spawn_logical_hw3,1,36,0x801c53a0,1000,43 44 45 48 55 57 58 59 60 79 82 84 88 92 106 126 127 201 297 298 309 311 312 313 316 317 330 331 335 336 345
12,spawn_logical_hw3,2,4,0x801c572c,480,22 151
12,objobj_init,1,,0x801c53a0,,
12,objobj_init,2,,0x801c572c,,
13,spawn_hw7,12,2,,,
13,spawn_hw7,16,2,,,
13,spawn_hw7,23,1,,,
13,spawn_hw7,62,1,,,
13,spawn_hw7,80,1,,,
13,spawn_logical_hw3,-1,1,(no INIT),0,16
13,spawn_logical_hw3,0,3,(no INIT),0,12 16
13,spawn_logical_hw3,1,3,0x801c52c0,13500,23 62 80
13,objobj_init,1,,0x801c52c0,,
14,spawn_hw7,3,12,,,
14,spawn_hw7,23,3,,,
14,spawn_hw7,24,10,,,
14,spawn_logical_hw3,-1,1,(no INIT),0,24
14,spawn_logical_hw3,0,3,(no INIT),0,24
14,spawn_logical_hw3,1,12,0x801c5b34,1200,3
14,spawn_logical_hw3,2,5,0x801c5c4c,3000,23 24
14,spawn_logical_hw3,3,4,0x801c5fc0,500,23 24
14,objobj_init,1,,0x801c5b34,,
14,objobj_init,2,,0x801c5c4c,,
14,objobj_init,3,,0x801c5fc0,,
15,spawn_hw7,0,2,,,
15,spawn_hw7,1,1,,,
15,spawn_hw7,6,1,,,
15,spawn_hw7,9,2,,,
15,spawn_hw7,10,1,,,
15,spawn_hw7,37,1,,,
15,spawn_hw7,46,1,,,
15,spawn_hw7,71,1,,,
15,spawn_hw7,75,1,,,
15,spawn_hw7,84,2,,,
15,spawn_hw7,85,1,,,
15,spawn_hw7,102,1,,,
15,spawn_hw7,113,1,,,
15,spawn_hw7,115,1,,,
15,spawn_hw7,116,1,,,
15,spawn_hw7,142,1,,,
15,spawn_hw7,145,1,,,
15,spawn_hw7,151,3,,,
15,spawn_hw7,167,1,,,
15,spawn_hw7,169,1,,,
15,spawn_hw7,193,1,,,
15,spawn_hw7,196,1,,,
15,spawn_hw7,214,5,,,
15,spawn_hw7,231,1,,,
15,spawn_hw7,232,1,,,
15,spawn_hw7,242,1,,,
15,spawn_hw7,243,1,,,
15,spawn_hw7,259,1,,,
15,spawn_hw7,267,1,,,
15,spawn_hw7,337,1,,,
15,spawn_logical_hw3,-1,1,(no INIT),0,169
15,spawn_logical_hw3,0,3,(no INIT),0,0 9
15,spawn_logical_hw3,1,28,0x801c5754,2500,1 6 9 10 71 75 84 102 113 116 142 145 151 167 193 196 214 232 242 243 259 267 337
15,spawn_logical_hw3,2,7,0x801c61e8,7000,37 46 85 115 151 214 231
15,objobj_init,1,,0x801c5754,,
15,objobj_init,2,,0x801c61e8,,
17,spawn_hw7,0,1,,,
17,spawn_hw7,3,1,,,
17,spawn_hw7,11,3,,,
17,spawn_hw7,18,1,,,
17,spawn_hw7,43,1,,,
17,spawn_hw7,46,1,,,
17,spawn_hw7,59,1,,,
17,spawn_hw7,61,1,,,
17,spawn_hw7,80,1,,,
17,spawn_hw7,104,1,,,
17,spawn_hw7,105,1,,,
17,spawn_hw7,109,1,,,
17,spawn_hw7,117,1,,,
17,spawn_hw7,121,1,,,
17,spawn_hw7,122,1,,,
17,spawn_hw7,124,1,,,
17,spawn_hw7,151,1,,,
17,spawn_hw7,152,1,,,
17,spawn_hw7,246,1,,,
17,spawn_logical_hw3,-1,1,(no INIT),0,0
17,spawn_logical_hw3,0,3,(no INIT),0,11 18
17,spawn_logical_hw3,1,10,0x801c52fc,3630,3 11 59 61 80 105 109 122 124 246
17,spawn_logical_hw3,2,7,0x801c5dc8,1300,43 46 104 117 121 151 152
17,objobj_init,1,,0x801c52fc,,
17,objobj_init,2,,0x801c5dc8,,
18,spawn_hw7,0,3,,,
18,spawn_hw7,4,1,,,
18,spawn_hw7,6,3,,,
18,spawn_hw7,10,1,,,
18,spawn_hw7,12,1,,,
18,spawn_hw7,17,2,,,
18,spawn_hw7,21,2,,,
18,spawn_hw7,23,1,,,
18,spawn_hw7,26,3,,,
18,spawn_hw7,31,1,,,
18,spawn_hw7,36,1,,,
18,spawn_hw7,40,2,,,
18,spawn_hw7,42,1,,,
18,spawn_hw7,43,1,,,
18,spawn_hw7,45,1,,,
18,spawn_hw7,46,1,,,
18,spawn_hw7,47,1,,,
18,spawn_hw7,50,3,,,
18,spawn_hw7,51,1,,,
18,spawn_hw7,52,1,,,
18,spawn_hw7,54,2,,,
18,spawn_hw7,59,1,,,
18,spawn_hw7,60,1,,,
18,spawn_hw7,63,1,,,
18,spawn_hw7,65,1,,,
18,spawn_hw7,70,1,,,
18,spawn_hw7,71,1,,,
18,spawn_hw7,75,1,,,
18,spawn_hw7,77,1,,,
18,spawn_hw7,79,1,,,
18,spawn_hw7,81,1,,,
18,spawn_hw7,82,1,,,
18,spawn_hw7,83,1,,,
18,spawn_hw7,87,1,,,
18,spawn_hw7,91,1,,,
18,spawn_hw7,92,1,,,
18,spawn_hw7,93,1,,,
18,spawn_hw7,97,1,,,
18,spawn_hw7,99,1,,,
18,spawn_hw7,106,1,,,
18,spawn_hw7,109,1,,,
18,spawn_hw7,110,1,,,
18,spawn_hw7,112,1,,,
18,spawn_hw7,113,1,,,
18,spawn_hw7,118,1,,,
18,spawn_hw7,119,1,,,
18,spawn_hw7,121,1,,,
18,spawn_hw7,122,1,,,
18,spawn_hw7,125,1,,,
18,spawn_hw7,127,1,,,
18,spawn_hw7,129,1,,,
18,spawn_hw7,130,1,,,
18,spawn_hw7,131,1,,,
18,spawn_hw7,132,1,,,
18,spawn_hw7,134,1,,,
18,spawn_hw7,139,1,,,
18,spawn_hw7,147,1,,,
18,spawn_hw7,148,2,,,
18,spawn_hw7,153,2,,,
18,spawn_hw7,159,1,,,
18,spawn_hw7,160,1,,,
18,spawn_hw7,163,2,,,
18,spawn_hw7,164,1,,,
18,spawn_hw7,165,1,,,
18,spawn_hw7,170,1,,,
18,spawn_hw7,171,1,,,
18,spawn_hw7,176,1,,,
18,spawn_hw7,177,1,,,
18,spawn_hw7,179,1,,,
18,spawn_hw7,181,2,,,
18,spawn_hw7,182,1,,,
18,spawn_hw7,183,3,,,
18,spawn_hw7,189,1,,,
18,spawn_hw7,190,1,,,
18,spawn_hw7,191,1,,,
18,spawn_hw7,192,2,,,
18,spawn_hw7,194,2,,,
18,spawn_hw7,195,1,,,
18,spawn_hw7,199,1,,,
18,spawn_hw7,204,1,,,
18,spawn_hw7,205,2,,,
18,spawn_logical_hw3,-1,22,(no INIT),0 800 2900,0 6 26 77 130 132 153 170 171 176 181 183 190 194 195 199 204 205
18,spawn_logical_hw3,0,3,(no INIT),0,21 26
18,spawn_logical_hw3,1,43,0x801c5458,800,0 4 6 10 12 17 36 40 46 50 51 52 54 79 87 97 99 106 109 110 112 113 118 119 121 122 125 127 134 139 148 153 163 164
18,spawn_logical_hw3,2,8,0x801c5e90,3300,81 82 83 91 92 93 129 131
18,spawn_logical_hw3,3,1,0x801c5f68,16000,21
18,spawn_logical_hw3,4,8,0x801c6618,0,23 43 47 65 70 159 181 192
18,spawn_logical_hw3,5,11,0x801c6664,0,42 60 75 147 165 177 179 182 189 191 192
18,spawn_logical_hw3,6,6,0x801c6684,0,31 45 59 63 71 160
18,objobj_init,1,,0x801c5458,,
18,objobj_init,2,,0x801c5e90,,
18,objobj_init,3,,0x801c5f68,,
18,objobj_init,4,,0x801c6618,,
18,objobj_init,5,,0x801c6664,,
18,objobj_init,6,,0x801c6684,,
19,spawn_hw7,4,1,,,
19,spawn_hw7,6,1,,,
19,spawn_hw7,8,1,,,
19,spawn_hw7,9,1,,,
19,spawn_hw7,13,1,,,
19,spawn_hw7,14,1,,,
19,spawn_hw7,26,1,,,
19,spawn_hw7,70,2,,,
19,spawn_hw7,71,1,,,
19,spawn_hw7,75,2,,,
19,spawn_hw7,76,1,,,
19,spawn_hw7,100,1,,,
19,spawn_hw7,101,1,,,
19,spawn_hw7,118,1,,,
19,spawn_hw7,119,1,,,
19,spawn_hw7,128,1,,,
19,spawn_hw7,129,1,,,
19,spawn_hw7,142,1,,,
19,spawn_hw7,145,1,,,
19,spawn_hw7,166,1,,,
19,spawn_hw7,174,1,,,
19,spawn_hw7,175,1,,,
19,spawn_hw7,176,1,,,
19,spawn_hw7,183,1,,,
19,spawn_hw7,191,1,,,
19,spawn_hw7,204,1,,,
19,spawn_logical_hw3,-1,1,(no INIT),0,174
19,spawn_logical_hw3,0,3,(no INIT),0,71 76 204
19,spawn_logical_hw3,1,14,0x801c5344,3250,4 6 8 9 26 70 75 100 101 142 145 166 175 176
19,spawn_logical_hw3,2,10,0x801c56c4,2000,13 14 70 75 118 119 128 129 183 191
19,objobj_init,1,,0x801c5344,,
19,objobj_init,2,,0x801c56c4,,
20,objobj_init,1,,0x801c52c0,,
20,objobj_init,2,,0x801c52f0,,
20,objobj_init,3,,0x801c5604,,
21,spawn_hw7,5,2,,,
21,spawn_hw7,40,4,,,
21,spawn_hw7,43,4,,,
21,spawn_hw7,84,1,,,
21,spawn_hw7,86,1,,,
21,spawn_hw7,92,3,,,
21,spawn_hw7,93,1,,,
21,spawn_hw7,110,1,,,
21,spawn_hw7,111,1,,,
21,spawn_hw7,117,1,,,
21,spawn_hw7,119,1,,,
21,spawn_hw7,121,1,,,
21,spawn_hw7,144,1,,,
21,spawn_hw7,171,1,,,
21,spawn_hw7,178,1,,,
21,spawn_hw7,186,1,,,
21,spawn_hw7,195,1,,,
21,spawn_hw7,205,1,,,
21,spawn_hw7,225,1,,,
21,spawn_hw7,230,1,,,
21,spawn_hw7,235,1,,,
21,spawn_hw7,238,1,,,
21,spawn_hw7,277,1,,,
21,spawn_hw7,287,1,,,
21,spawn_hw7,292,1,,,
21,spawn_hw7,297,1,,,
21,spawn_logical_hw3,-1,13,(no INIT),0 1200 1800 2400,40 43 84 92 93 110 111 117 171 205
21,spawn_logical_hw3,0,3,(no INIT),0,5 40
21,spawn_logical_hw3,1,16,0x801c6554,1800,86 92 119 121 144 178 186 195 225 230 235 238 277 287 292 297
21,spawn_logical_hw3,2,1,0x801c659c,25000,40
21,spawn_logical_hw3,3,1,0x801c6c4c,20000,5
21,spawn_logical_hw3,4,1,0x801c6e3c,1,43
21,objobj_init,1,,0x801c6554,,
21,objobj_init,2,,0x801c659c,,
21,objobj_init,3,,0x801c6c4c,,
21,objobj_init,4,,0x801c6e3c,,
22,spawn_hw7,7,1,,,
22,spawn_hw7,8,5,,,
22,spawn_hw7,12,2,,,
22,spawn_hw7,13,1,,,
22,spawn_hw7,16,2,,,
22,spawn_hw7,17,2,,,
22,spawn_hw7,19,1,,,
22,spawn_hw7,20,3,,,
22,spawn_logical_hw3,-1,1,(no INIT),0,8
22,spawn_logical_hw3,0,3,(no INIT),0,7 8
22,spawn_logical_hw3,1,6,0x801c531c,3150,13 17 20
22,spawn_logical_hw3,2,7,0x801c5d90,2950,8 12 16 19
22,objobj_init,1,,0x801c531c,,
22,objobj_init,2,,0x801c5d90,,
23,spawn_hw7,0,1,,,
23,spawn_hw7,1,1,,,
23,spawn_hw7,3,1,,,
23,spawn_hw7,5,1,,,
23,spawn_hw7,7,7,,,
23,spawn_logical_hw3,-1,5,(no INIT),0 100 3000 5000,7
23,spawn_logical_hw3,0,3,(no INIT),0,3 7
23,spawn_logical_hw3,1,2,0x801c52c0,11000,0 5
23,spawn_logical_hw3,2,1,0x801c52f0,13500,1
23,objobj_init,1,,0x801c52c0,,
23,objobj_init,2,,0x801c52f0,,
24,objobj_init,1,,0x801c52c0,,
25,spawn_hw7,10,3,,,
25,spawn_hw7,34,1,,,
25,spawn_hw7,38,1,,,
25,spawn_hw7,49,1,,,
25,spawn_hw7,51,1,,,
25,spawn_hw7,62,1,,,
25,spawn_hw7,67,1,,,
25,spawn_hw7,83,1,,,
25,spawn_logical_hw3,0,3,(no INIT),0,10
25,spawn_logical_hw3,1,3,0x801c5454,3630,34 51 83
25,spawn_logical_hw3,2,4,0x801c650c,2400,38 49 62 67
25,objobj_init,1,,0x801c5454,,
25,objobj_init,2,,0x801c650c,,
26,spawn_hw7,0,5,,,
26,spawn_hw7,5,1,,,
26,spawn_hw7,7,2,,,
26,spawn_hw7,12,1,,,
26,spawn_hw7,45,2,,,
26,spawn_logical_hw3,0,3,(no INIT),0,5 7
26,spawn_logical_hw3,1,5,0x801c5918,3150,0
26,spawn_logical_hw3,2,1,0x801c5fc8,20000,12
26,spawn_logical_hw3,3,1,0x801c67f4,10000,45
26,spawn_logical_hw3,4,1,0x801c6864,16200,45
26,objobj_init,1,,0x801c5918,,
26,objobj_init,2,,0x801c5fc8,,
26,objobj_init,3,,0x801c67f4,,
26,objobj_init,4,,0x801c6864,,
27,spawn_hw7,7,1,,,
27,spawn_hw7,8,2,,,
27,spawn_hw7,34,3,,,
27,spawn_logical_hw3,-1,1,(no INIT),0,7
27,spawn_logical_hw3,0,3,(no INIT),0,8 34
27,spawn_logical_hw3,1,1,0x801c52a0,7200,34
27,spawn_logical_hw3,2,1,0x801c52d0,14900,34
27,objobj_init,1,,0x801c52a0,,
27,objobj_init,2,,0x801c52d0,,
28,objobj_init,1,,0x801c64c0,,
28,objobj_init,2,,0x801c6508,,
30,spawn_hw7,1,2,,,
30,spawn_hw7,7,1,,,
30,spawn_hw7,8,1,,,
30,spawn_hw7,9,1,,,
30,spawn_hw7,10,1,,,
30,spawn_hw7,16,1,,,
30,spawn_hw7,17,1,,,
30,spawn_hw7,18,2,,,
30,spawn_hw7,21,1,,,
30,spawn_hw7,23,2,,,
30,spawn_hw7,24,1,,,
30,spawn_hw7,26,1,,,
30,spawn_hw7,29,2,,,
30,spawn_hw7,34,1,,,
30,spawn_hw7,41,2,,,
30,spawn_hw7,46,1,,,
30,spawn_hw7,47,1,,,
30,spawn_hw7,49,1,,,
30,spawn_hw7,51,1,,,
30,spawn_hw7,53,2,,,
30,spawn_hw7,56,1,,,
30,spawn_hw7,66,1,,,
30,spawn_hw7,67,2,,,
30,spawn_hw7,80,1,,,
30,spawn_hw7,83,1,,,
30,spawn_hw7,86,1,,,
30,spawn_hw7,90,2,,,
30,spawn_hw7,93,1,,,
30,spawn_hw7,111,1,,,
30,spawn_hw7,113,1,,,
30,spawn_hw7,119,1,,,
30,spawn_hw7,123,1,,,
30,spawn_hw7,129,1,,,
30,spawn_hw7,145,2,,,
30,spawn_hw7,157,1,,,
30,spawn_hw7,166,1,,,
30,spawn_hw7,170,1,,,
30,spawn_hw7,179,1,,,
30,spawn_hw7,198,1,,,
30,spawn_hw7,202,1,,,
30,spawn_hw7,209,1,,,
30,spawn_hw7,239,1,,,
30,spawn_hw7,242,1,,,
